Date,Open,High,Low,Close,Volume,Adj Close,predict_news_word,predict_news_sentiment,predict_news_event,predict_twitter_word,predict_twitter_sentiment,predict_twitter_event
2007-10-9,1553.180054,1565.26001,1551.819946,1565.150024,2932040000,1565.150024,8.15837864608,,,,,
2007-10-8,1556.51001,1556.51001,1549,1552.579956,2040650000,1552.579956,-1.38701475003,,,,,
2007-10-5,1543.839966,1561.910034,1543.839966,1557.589966,2919030000,1557.589966,16.7535630217,,,,,
2007-10-4,1539.910034,1544.02002,1537.630005,1542.839966,2690430000,1542.839966,5.2795299911,,,,,
2007-10-3,1545.800049,1545.839966,1536.339966,1539.589966,3065320000,1539.589966,-3.05962272842,,,,,
2007-10-2,1546.959961,1548.01001,1540.369995,1546.630005,3101910000,1546.630005,3.43250600176,,,,,
2007-10-1,1527.290039,1549.02002,1527.25,1547.040039,3281990000,1547.040039,17.9725334965,,,,,
2007-9-28,1531.23999,1533.73999,1521.98999,1526.75,2925350000,1526.75,-0.857749118667,,,,,
2007-9-27,1527.319946,1532.459961,1525.810059,1531.380005,2872180000,1531.380005,5.66041211726,,,,,
2007-9-26,1518.619995,1529.390015,1518.619995,1525.420044,3237390000,1525.420044,8.49520555215,,,,,
2007-9-25,1516.339966,1518.27002,1507.130005,1517.209961,3187770000,1517.209961,2.34224185425,,,,,
2007-9-24,1525.75,1530.180054,1516.150024,1517.72998,3131310000,1517.72998,-4.10014358274,,,,,
2007-9-21,1518.75,1530.890015,1518.75,1525.75,3679460000,1525.75,5.68094934275,,,,,
2007-9-20,1528.689941,1529.140015,1516.420044,1518.75,2957700000,1518.75,-15.2032896349,,,,,
2007-9-19,1519.75,1538.73999,1519.75,1529.030029,3846750000,1529.030029,9.78725956245,,,,,
2007-9-18,1476.630005,1519.890015,1476.630005,1519.780029,3708940000,1519.780029,45.5769163657,,,,,
2007-9-17,1484.23999,1484.23999,1471.819946,1476.650024,2598390000,1476.650024,-4.03270710061,,,,,
2007-9-14,1483.949951,1485.98999,1473.180054,1484.25,2641740000,1484.25,4.67280675073,,,,,
2007-9-13,1471.469971,1489.579956,1471.469971,1483.949951,2877080000,1483.949951,11.6846831611,,,,,
2007-9-12,1471.099976,1479.5,1465.75,1471.560059,2885720000,1471.560059,2.52484814355,,,,,
2007-9-11,1451.689941,1472.47998,1451.689941,1471.48999,3015330000,1471.48999,22.3921389544,,,,,
2007-9-10,1453.5,1462.25,1439.290039,1451.699951,2835720000,1451.699951,0.897807646991,,,,,
2007-9-7,1478.550049,1478.550049,1449.069946,1453.550049,3191080000,1453.550049,-26.2039683316,,,,,
2007-9-6,1472.030029,1481.48999,1467.410034,1478.550049,2459590000,1478.550049,6.7708579857,,,,,
2007-9-5,1488.76001,1488.76001,1466.339966,1472.290039,2991600000,1472.290039,-19.4246329292,,,,,
2007-9-4,1473.959961,1496.400024,1472.150024,1489.420044,2766600000,1489.420044,13.4976607513,,,,,
2007-8-31,1457.609985,1481.469971,1457.609985,1473.98999,2731610000,1473.98999,19.8467262389,,,,,
2007-8-30,1463.670044,1468.430054,1451.25,1457.640015,2582960000,1457.640015,-2.49263396028,,,,,
2007-8-29,1432.01001,1463.76001,1432.01001,1463.76001,2824070000,1463.76001,37.2278915578,,,,,
2007-8-28,1466.719971,1466.719971,1432.01001,1432.359985,3078090000,1432.359985,-28.818157508,,,,,
2007-8-27,1479.359985,1479.359985,1465.97998,1466.790039,2406180000,1466.790039,-3.23604870752,,,,,
2007-8-24,1462.339966,1479.400024,1460.540039,1479.369995,2541400000,1479.369995,17.3631166254,,,,,
2007-8-23,1464.050049,1472.060059,1453.880005,1462.5,3084390000,1462.5,0.170915658275,,,,,
2007-8-22,1447.030029,1464.859985,1447.030029,1464.069946,3309120000,1464.069946,14.3288851271,,,,,
2007-8-21,1445.550049,1455.319946,1439.76001,1447.119995,3012150000,1447.119995,3.16411372526,,,,,
2007-8-20,1445.939941,1451.75,1430.540039,1445.550049,3321340000,1445.550049,2.412850531,,,,,
2007-8-17,1411.26001,1450.329956,1411.26001,1445.939941,3570040000,1445.939941,34.4333521787,,,,,
2007-8-16,1406.640015,1415.969971,1370.599976,1411.27002,6509300000,1411.27002,5.53706570499,,,,,
2007-8-15,1426.150024,1440.780029,1404.359985,1406.699951,4290930000,1406.699951,-20.0166847695,,,,,
2007-8-14,1452.869995,1456.73999,1426.199951,1426.540039,3814630000,1426.540039,-25.6093185733,,,,,
2007-8-13,1453.420044,1466.290039,1451.540039,1452.920044,3696280000,1452.920044,3.14508055756,,,,,
2007-8-10,1453.089966,1462.02002,1429.73999,1453.640015,5345780000,1453.640015,3.63462402261,,,,,
2007-8-9,1497.209961,1497.209961,1453.089966,1453.089966,5889600000,1453.089966,-46.6888252722,,,,,
2007-8-8,1476.219971,1503.890015,1476.219971,1497.48999,5499560000,1497.48999,27.927071632,,,,,
2007-8-7,1467.619995,1488.300049,1455.800049,1476.709961,4909390000,1476.709961,7.91402394775,,,,,
2007-8-6,1433.040039,1467.670044,1427.390015,1467.670044,5067200000,1467.670044,52.3165993353,,,,,
2007-8-3,1472.180054,1473.22998,1432.800049,1433.060059,4272110000,1433.060059,-41.474120172,,,,,
2007-8-2,1465.459961,1476.430054,1460.579956,1472.199951,4368850000,1472.199951,5.03883972449,,,,,
2007-8-1,1455.180054,1468.380005,1439.589966,1465.810059,5256780000,1465.810059,10.1527866259,,,,,
2007-7-31,1473.900024,1488.300049,1454.25,1455.27002,4524520000,1455.27002,-21.9783863289,,,,,
2007-7-30,1458.930054,1477.880005,1454.319946,1473.910034,4128780000,1473.910034,14.4240509657,,,,,
2007-7-27,1482.439941,1488.530029,1458.949951,1458.949951,4784650000,1458.949951,-21.2643690749,,,,,
2007-7-26,1518.089966,1518.089966,1465.300049,1482.660034,4472550000,1482.660034,-37.9435496021,,,,,
2007-7-25,1511.030029,1524.310059,1503.72998,1518.089966,4283200000,1518.089966,4.94787157453,,,,,
2007-7-24,1541.569946,1541.569946,1508.619995,1511.040039,4115830000,1511.040039,-31.714972817,,,,,
2007-7-23,1534.060059,1547.22998,1534.060059,1541.569946,3102700000,1541.569946,9.46312143484,,,,,
2007-7-20,1553.189941,1553.189941,1529.199951,1534.099976,3745780000,1534.099976,-21.4633149011,,,,,
2007-7-19,1546.130005,1555.199951,1546.130005,1553.079956,3251450000,1553.079956,6.38647550686,,,,,
2007-7-18,1549.199951,1549.199951,1533.670044,1546.170044,3609220000,1546.170044,-0.6836626331,,,,,
2007-7-17,1549.52002,1555.319946,1547.73999,1549.369995,3007140000,1549.369995,3.82991909038,,,,,
2007-7-16,1552.5,1555.900024,1546.689941,1549.52002,2704110000,1549.52002,2.48427960291,,,,,
2007-7-13,1547.680054,1555.099976,1544.849976,1552.5,2801120000,1552.5,4.58451855829,,,,,
2007-7-12,1518.73999,1547.920044,1518.73999,1547.699951,3489600000,1547.699951,35.464725627,,,,,
2007-7-11,1509.930054,1519.339966,1506.099976,1518.76001,3082920000,1518.76001,6.77203388542,,,,,
2007-7-10,1531.849976,1531.849976,1510.01001,1510.119995,3244280000,1510.119995,-25.7651936536,,,,,
2007-7-9,1530.430054,1534.26001,1527.449951,1531.849976,2715330000,1531.849976,5.99506497616,,,,,
2007-7-6,1524.959961,1532.400024,1520.469971,1530.439941,2441520000,1530.439941,6.33506407685,,,,,
2007-7-5,1524.859985,1526.569946,1517.719971,1525.400024,2622950000,1525.400024,0.973084372196,,,,,
2007-7-3,1519.119995,1526.01001,1519.119995,1524.869995,1560790000,1524.869995,6.82961195238,,,,,
2007-7-2,1504.660034,1519.449951,1504.660034,1519.430054,2648990000,1519.430054,15.6650353773,,,,,
2007-6-29,1505.699951,1517.530029,1493.609985,1503.349976,3165410000,1503.349976,1.60350335943,,,,,
2007-6-28,1506.319946,1514.839966,1503.410034,1505.709961,3006710000,1505.709961,-2.00758899535,,,,,
2007-6-27,1492.619995,1506.800049,1484.180054,1506.339966,3398150000,1506.339966,11.2079925535,,,,,
2007-6-26,1497.680054,1506.119995,1490.540039,1492.890015,3398530000,1492.890015,-0.524931210272,,,,,
2007-6-25,1502.560059,1514.290039,1492.680054,1497.73999,3287250000,1497.73999,-3.01455568764,,,,,
2007-6-22,1522.189941,1522.189941,1500.73999,1502.560059,4284320000,1502.560059,-22.0133898557,,,,,
2007-6-21,1512.5,1522.900024,1504.75,1522.189941,3161110000,1522.189941,11.2660765309,,,,,
2007-6-20,1533.680054,1537.319946,1512.359985,1512.839966,3286900000,1512.839966,-19.5334720204,,,,,
2007-6-19,1531.02002,1535.849976,1525.670044,1533.699951,2873590000,1533.699951,4.78897470535,,,,,
2007-6-18,1532.900024,1535.439941,1529.310059,1531.050049,2480240000,1531.050049,0.920174353696,,,,,
2007-6-15,1522.969971,1538.709961,1522.969971,1532.910034,3406030000,1532.910034,15.9233231201,,,,,
2007-6-14,1515.579956,1526.449951,1515.579956,1522.969971,2813630000,1522.969971,7.75496299954,,,,,
2007-6-13,1492.650024,1515.699951,1492.650024,1515.670044,3077930000,1515.670044,25.4024422605,,,,,
2007-6-12,1509.119995,1511.329956,1492.969971,1493,3056200000,1493,-17.4090587543,,,,,
2007-6-11,1507.640015,1515.530029,1503.349976,1509.119995,2525280000,1509.119995,-2.35092436969,,,,,
2007-6-8,1490.709961,1507.76001,1487.410034,1507.670044,2993460000,1507.670044,14.4008064361,,,,,
2007-6-7,1517.359985,1517.359985,1490.369995,1490.719971,3538470000,1490.719971,-30.0838905069,,,,,
2007-6-6,1530.569946,1530.569946,1514.130005,1517.380005,2964190000,1517.380005,-14.4401854038,,,,,
2007-6-5,1539.119995,1539.119995,1525.619995,1530.949951,2939450000,1530.949951,-3.77132920273,,,,,
2007-6-4,1536.280029,1540.530029,1532.310059,1539.180054,2738930000,1539.180054,7.22169247247,,,,,
2007-6-1,1530.619995,1540.560059,1530.619995,1536.339966,2927020000,1536.339966,6.28031637319,,,,,
2007-5-31,1530.189941,1535.560059,1528.26001,1530.619995,3335530000,1530.619995,5.21876605627,,,,,
2007-5-30,1517.599976,1530.22998,1510.060059,1530.22998,2980210000,1530.22998,14.9292776515,,,,,
2007-5-29,1515.550049,1521.800049,1512.02002,1518.109985,2571790000,1518.109985,6.46825523103,,,,,
2007-5-25,1507.5,1517.410034,1507.5,1515.72998,2316250000,1515.72998,7.8392586022,,,,,
2007-5-24,1522.099976,1529.310059,1505.180054,1507.51001,3365530000,1507.51001,-14.6545820056,,,,,
2007-5-23,1524.089966,1532.430054,1521.900024,1522.280029,3084260000,1522.280029,2.96332200992,,,,,
2007-5-22,1525.099976,1529.23999,1522.050049,1524.119995,2860500000,1524.119995,2.1301013392,,,,,
2007-5-21,1522.75,1529.869995,1522.709961,1525.099976,3465360000,1525.099976,2.24494298831,,,,,
2007-5-18,1512.73999,1522.75,1512.73999,1522.75,2959050000,1522.75,10.3918087556,,,,,
2007-5-17,1514.01001,1517.140015,1509.290039,1512.75,2868640000,1512.75,1.66392546294,,,,,
2007-5-16,1500.75,1514.150024,1500.75,1514.140015,2915350000,1514.140015,10.6119617968,,,,,
2007-5-15,1503.109985,1514.829956,1500.430054,1501.189941,3071020000,1501.189941,-0.876610003389,,,,,
2007-5-14,1505.76001,1510.900024,1498.339966,1503.150024,2776130000,1503.150024,-5.52321470005,,,,,
2007-5-11,1491.469971,1506.23999,1491.469971,1505.849976,2720780000,1505.849976,6.37679484398,,,,,
2007-5-10,1512.329956,1512.329956,1491.420044,1491.469971,3031240000,1491.469971,-24.2521115141,,,,,
2007-5-9,1507.319946,1513.800049,1503.77002,1512.579956,2935550000,1512.579956,5.07105390777,,,,,
2007-5-8,1509.359985,1509.359985,1500.660034,1507.719971,2795720000,1507.719971,0.291258056929,,,,,
2007-5-7,1505.569946,1511,1505.540039,1509.47998,2545090000,1509.47998,7.21785028847,,,,,
2007-5-4,1502.349976,1510.339966,1501.800049,1505.619995,2761930000,1505.619995,3.21001483445,,,,,
2007-5-3,1495.560059,1503.339966,1495.560059,1502.390015,3007970000,1502.390015,5.49016644836,,,,,
2007-5-2,1486.130005,1499.099976,1486.130005,1495.920044,3189800000,1495.920044,7.84426301267,,,,,
2007-5-1,1482.369995,1487.27002,1476.699951,1486.300049,3400350000,1486.300049,5.23428519805,,,,,
2007-4-30,1494.069946,1497.160034,1482.290039,1482.369995,3093420000,1482.369995,0.303442292376,,,,,
2007-4-27,1494.209961,1497.319946,1488.670044,1494.069946,2732810000,1494.069946,0.681659501585,,,,,
2007-4-26,1495.27002,1498.02002,1491.170044,1494.25,3211800000,1494.25,4.10514799322,,,,,
2007-4-25,1480.280029,1496.589966,1480.280029,1495.420044,3252590000,1495.420044,11.0514338106,,,,,
2007-4-24,1480.930054,1483.819946,1473.73999,1480.410034,3119750000,1480.410034,-0.405924688403,,,,,
2007-4-23,1484.329956,1487.319946,1480.189941,1480.930054,2575020000,1480.930054,2.30986359195,,,,,
2007-4-20,1470.689941,1484.73999,1470.689941,1484.349976,3329940000,1484.349976,14.2479394714,,,,,
2007-4-19,1472.47998,1474.22998,1464.469971,1470.72998,2913610000,1470.72998,0.33782505352,,,,,
2007-4-18,1471.469971,1476.569946,1466.410034,1472.5,2971330000,1472.5,1.9189589716,,,,,
2007-4-17,1468.469971,1474.349976,1467.150024,1471.47998,2920570000,1471.47998,5.70798136327,,,,,
2007-4-16,1452.839966,1468.619995,1452.839966,1468.329956,2870140000,1468.329956,23.2303093426,,,,,
2007-4-13,1447.800049,1453.109985,1444.150024,1452.849976,2690020000,1452.849976,7.46637532885,,,,,
2007-4-12,1438.869995,1448.02002,1433.910034,1447.800049,2770570000,1447.800049,10.0703369123,,,,,
2007-4-11,1448.22998,1448.390015,1436.150024,1438.869995,2950190000,1438.869995,-6.5900975855,,,,,
2007-4-10,1444.579956,1448.72998,1443.98999,1448.390015,2510110000,1448.390015,7.08915763441,,,,,
2007-4-9,1443.77002,1448.099976,1443.280029,1444.609985,2349410000,1444.609985,5.95117383511,,,,,
2007-4-5,1438.939941,1444.880005,1436.670044,1443.76001,2357230000,1443.76001,3.63012552249,,,,,
2007-4-4,1437.75,1440.160034,1435.079956,1439.369995,2616320000,1439.369995,3.65131906411,,,,,
2007-4-3,1424.27002,1440.569946,1424.27002,1437.77002,2921760000,1437.77002,12.4589857861,,,,,
2007-4-2,1420.829956,1425.48999,1416.369995,1424.550049,2875880000,1424.550049,7.48290629132,,,,,
2007-3-30,1422.52002,1429.219971,1408.900024,1420.859985,2903960000,1420.859985,0.761943371915,,,,,
2007-3-29,1417.170044,1426.23999,1413.27002,1422.530029,2854710000,1422.530029,7.17445138452,,,,,
2007-3-28,1428.349976,1428.349976,1414.069946,1417.22998,3000440000,1417.22998,-11.2180150477,,,,,
2007-3-27,1437.48999,1437.48999,1425.540039,1428.609985,2673040000,1428.609985,-9.68927703387,,,,,
2007-3-26,1436.109985,1437.650024,1423.280029,1437.5,2754660000,1437.5,6.31769904597,,,,,
2007-3-23,1434.540039,1438.890015,1433.209961,1436.109985,2619020000,1436.109985,5.194236241,,,,,
2007-3-22,1435.040039,1437.660034,1429.880005,1434.540039,3129970000,1434.540039,-0.68666664671,,,,,
2007-3-21,1410.920044,1437.77002,1409.75,1435.040039,3184770000,1435.040039,25.5062222482,,,,,
2007-3-20,1402.040039,1411.530029,1400.699951,1410.939941,2795940000,1410.939941,8.74206245571,,,,,
2007-3-19,1386.949951,1403.199951,1386.949951,1402.060059,2777180000,1402.060059,14.0375081129,,,,,
2007-3-16,1392.280029,1397.51001,1383.630005,1386.949951,3393640000,1386.949951,-8.10230463691,,,,,
2007-3-15,1387.109985,1395.72998,1385.160034,1392.280029,2821900000,1392.280029,6.4008187489,,,,,
2007-3-14,1377.859985,1388.089966,1363.97998,1387.170044,3758350000,1387.170044,7.91035951604,,,,,
2007-3-13,1406.22998,1406.22998,1377.709961,1377.949951,3485570000,1377.949951,-34.2869116427,,,,,
2007-3-12,1402.800049,1409.339966,1398.400024,1406.599976,2664000000,1406.599976,3.08165033846,,,,,
2007-3-9,1401.890015,1410.150024,1397.300049,1402.839966,2623050000,1402.839966,5.74253367274,,,,,
2007-3-8,1391.880005,1407.930054,1391.880005,1401.890015,3014850000,1401.890015,11.6553130144,,,,,
2007-3-7,1395.02002,1401.160034,1390.640015,1391.969971,3141350000,1391.969971,0.117504515064,,,,,
2007-3-6,1374.060059,1397.900024,1374.060059,1395.410034,3358160000,1395.410034,25.4703983262,,,,,
2007-3-5,1387.109985,1391.859985,1373.969971,1374.119995,3480520000,1374.119995,-10.0571558967,,,,,
2007-3-2,1403.160034,1403.400024,1386.869995,1387.170044,3312260000,1387.170044,-15.067787701,,,,,
2007-3-1,1406.800049,1409.459961,1380.869995,1403.170044,3874910000,1403.170044,-0.33248428103,,,,,
2007-2-28,1398.640015,1415.890015,1396.650024,1406.819946,3925250000,1406.819946,6.27197568907,,,,,
2007-2-27,1449.25,1449.25,1389.420044,1399.040039,4065230000,1399.040039,-58.6211994053,,,,,
2007-2-26,1451.040039,1456.949951,1445.47998,1449.369995,2822170000,1449.369995,0.821863667056,,,,,
2007-2-23,1456.219971,1456.219971,1448.359985,1451.189941,2579950000,1451.189941,0.634423882939,,,,,
2007-2-22,1457.290039,1461.569946,1450.51001,1456.380005,1950770000,1456.380005,3.29212271668,,,,,
2007-2-21,1459.599976,1459.599976,1452.02002,1457.630005,2606980000,1457.630005,0.263717391417,,,,,
2007-2-20,1455.530029,1460.530029,1449.199951,1459.680054,2337860000,1459.680054,7.23820976168,,,,,
2007-2-16,1456.77002,1456.77002,1451.569946,1455.540039,2399450000,1455.540039,1.88407850405,,,,,
2007-2-15,1455.150024,1457.969971,1453.189941,1456.810059,2490920000,1456.810059,0.118005229577,,,,,
2007-2-14,1443.910034,1457.650024,1443.910034,1455.300049,2699290000,1455.300049,10.1834967513,,,,,
2007-2-13,1433.219971,1444.410034,1433.219971,1444.26001,2652150000,1444.26001,12.9305079041,,,,,
2007-2-12,1438,1439.109985,1431.439941,1433.369995,2395680000,1433.369995,-2.76820469443,,,,,
2007-2-9,1448.25,1452.449951,1433.439941,1438.060059,2951810000,1438.060059,-6.3746207968,,,,,
2007-2-8,1449.98999,1450.449951,1442.810059,1448.310059,2816180000,1448.310059,1.90276984044,,,,,
2007-2-7,1447.410034,1452.98999,1446.439941,1450.02002,2618820000,1450.02002,5.95534417718,,,,,
2007-2-6,1446.97998,1450.189941,1443.400024,1448,2608710000,1448,3.35555293578,,,,,
2007-2-5,1448.329956,1449.380005,1443.849976,1446.98999,2439430000,1446.98999,4.17909294361,,,,,
2007-2-2,1445.939941,1449.329956,1444.48999,1448.390015,2569450000,1448.390015,4.53927376524,,,,,
2007-2-1,1437.900024,1446.640015,1437.900024,1445.939941,2914890000,1445.939941,6.79857366884,,,,,
2007-1-31,1428.650024,1441.609985,1424.780029,1438.23999,2976690000,1438.23999,7.52362523775,,,,,
2007-1-30,1420.609985,1428.819946,1420.609985,1428.819946,2706250000,1428.819946,10.8149275593,,,,,
2007-1-29,1422.030029,1426.939941,1418.459961,1420.619995,2730480000,1420.619995,0.837720538168,,,,,
2007-1-26,1423.900024,1427.27002,1416.959961,1422.180054,2626620000,1422.180054,1.86288496243,,,,,
2007-1-25,1440.119995,1440.689941,1422.339966,1423.900024,2994330000,1423.900024,-19.5109111535,,,,,
2007-1-24,1427.959961,1440.140015,1427.959961,1440.130005,2783180000,1440.130005,11.9005017811,,,,,
2007-1-23,1422.949951,1431.329956,1421.660034,1427.98999,2975070000,1427.98999,5.1202912906,,,,,
2007-1-22,1430.469971,1431.390015,1420.400024,1422.949951,2540120000,1422.949951,1.62587280079,,,,,
2007-1-19,1426.349976,1431.569946,1425.189941,1430.5,2777480000,1430.5,6.72763683403,,,,,
2007-1-18,1430.589966,1432.959961,1424.209961,1426.369995,2822430000,1426.369995,0.582014305485,,,,,
2007-1-17,1431.77002,1435.27002,1428.569946,1430.619995,2690270000,1430.619995,3.85361483725,,,,,
2007-1-16,1430.72998,1433.930054,1428.619995,1431.900024,2599530000,1431.900024,5.41321338238,,,,,
2007-1-12,1423.819946,1431.22998,1422.579956,1430.72998,2686480000,1430.72998,6.42452816902,,,,,
2007-1-11,1414.839966,1427.119995,1414.839966,1423.819946,2857870000,1423.819946,10.1803245567,,,,,
2007-1-10,1408.699951,1415.98999,1405.319946,1414.849976,2764660000,1414.849976,3.89032752064,,,,,
2007-1-9,1412.839966,1415.609985,1405.420044,1412.109985,3038380000,1412.109985,1.73452046644,,,,,
2007-1-8,1409.26001,1414.97998,1403.969971,1412.839966,2763340000,1412.839966,5.1536813736,,,,,
2007-1-5,1418.339966,1418.339966,1405.75,1409.709961,2919400000,1409.709961,-3.12972549482,,,,,
2007-1-4,1416.599976,1421.839966,1408.430054,1418.339966,3004460000,1418.339966,4.13803216587,,,,,
2007-1-3,1418.030029,1429.420044,1407.859985,1416.599976,3429160000,1416.599976,1.21009653384,,,,,
2006-12-29,1424.709961,1427,1416.839966,1418.300049,1678200000,1418.300049,-2.12859728141,,,,,
2006-12-28,1426.77002,1427.26001,1422.050049,1424.72998,1508570000,1424.72998,2.16664994357,,,,,
2006-12-27,1416.630005,1427.719971,1416.630005,1426.839966,1667370000,1426.839966,8.42426871734,,,,,
2006-12-26,1410.75,1417.910034,1410.449951,1416.900024,1310310000,1416.900024,,,,,,
2006-12-22,1418.099976,1418.819946,1410.280029,1410.76001,1647590000,1410.76001,-0.526767528105,,,,,
2006-12-21,1423.199951,1426.400024,1415.900024,1418.300049,2322410000,1418.300049,-2.43688810918,,,,,
2006-12-20,1425.51001,1429.050049,1423.51001,1423.530029,2387630000,1423.530029,0.676318729095,,,,,
2006-12-19,1422.420044,1428.300049,1414.880005,1425.550049,2717060000,1425.550049,3.85294484787,,,,,
